
TMS-001,TMS CU1-CU1 com.fault,2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-002,TMS CU1-CU2(DT1) com.fault,2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-003,TMS CU1- CU2(DT2) com.fault,2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-005,TMS CU1-LU com.fault(Car No.2),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-006,TMS CU1-LU com.fault(Car No.3),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-007,TMS CU1-LU com.fault(Car No.4),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-008,TMS CU1-LU com.fault(Car No.5),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-009,TMS CU1-LU com.fault(Car No.6),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-010,TMS CU1-LU com.fault(Car No.7),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
TMS-011,TMS CU1-LU com.fault(Car No.8),2,DT-CU1,Status data offline,Initialize 10s,hostler station off in unit,,,,,5s,
